WKT,fid,gid,streetname,note
"LINESTRING (652699.725012769 6863000.25843664,652713.071416802 6863032.82792478)","2147","2176",rue Saint Philippe,
"LINESTRING (652738.818155848 6862985.40468333,652751.79536103 6863017.25100731)","2148","2177",rue Saint Marcou,
"LINESTRING (652731.891786101 6863025.40714913,652720.000845066 6862993.18856151)","2150","2179",rue Saint Hugues,
"LINESTRING (652818.89007374 6862625.27579673,652912.861121218 6862547.78865859)","2357","2390",rue des Vieilles Audriettes,
"LINESTRING (653162.685436361 6862772.10771184,653015.369184368 6862928.06220223)","2415","2448",rue de la Corderie,
"LINESTRING (653149.278673004 6862753.59725037,653177.379888583 6862730.79824919)","2448","2481",rue des Oiseaux,
"LINESTRING (653188.325032428 6862754.7014776,653162.685436361 6862772.10771184)","2477","2510",rue de la Corderie,
"LINESTRING (653015.369184368 6862928.06220223,652974.402590136 6862868.9555895)","2478","2511",Rue du Temple,c
"LINESTRING (652873.375938659 6863068.96125692,653074.699296842 6863011.83502553)","2495","2528",Rue des Fontaines,c
"LINESTRING (653139.005839854 6863104.09909413,653074.699296842 6863011.83502553)","2496","2529",Rue du Temple,c
"LINESTRING (652924.309730523 6862978.21975677,653020.084875658 6862935.18533191)","2498","2531",Rue Phelipeaux,c
"LINESTRING (653074.699296842 6863011.83502553,653020.084875658 6862935.18533191)","2501","2534",Rue du Temple,c
"LINESTRING (653020.084875658 6862935.18533191,653015.369184368 6862928.06220223)","2502","2535",Rue du Temple,c
"LINESTRING (652353.962093392 6862690.14674454,652394.492334656 6862673.46542284)","2503","2536",Passage de Beaufort,c
"LINESTRING (652331.141519723 6862696.87479255,652353.962093392 6862690.14674454)","2504","2537",Cul de Sac de Beaufort,c
"LINESTRING (652353.962093392 6862690.14674454,652364.736141196 6862719.10651134)","2505","2538",Cul de Sac de Beaufort,c
"LINESTRING (653075.058576003 6862658.24028157,653149.278673004 6862753.59725037)","2506","2539",rue de Beauce,
"LINESTRING (653149.278673004 6862753.59725037,653162.685436361 6862772.10771184)","2511","2544",rue de Beauce,
"LINESTRING (652680.324412652 6863295.12184127,652679.050035298 6863291.08243413)","2513","2546",Rue Saint Martin,c
"LINESTRING (652679.050035298 6863291.08243413,652671.076470966 6863269.35121255)","2514","2547",Rue Saint Martin,c
"LINESTRING (652511.582312316 6862822.45372691,652559.7591056 6862808.24997888,652644.420116723 6862771.2256055)","2516","2548",Rue de Montmorency,c
"LINESTRING (652511.582312316 6862822.45372691,652494.839907181 6862774.66139922)","2517","2549",Rue Saint Martin,c
"LINESTRING (652662.37090601 6862833.16978728,652535.733262423 6862887.61401417)","2518","2550",Rue du Cimetière Saint Nicolas,c
"LINESTRING (652553.604677629 6862940.11757504,652535.733262423 6862887.61401417)","2520","2552",Rue Saint Martin,c
"LINESTRING (652535.733262423 6862887.61401417,652511.582312316 6862822.45372691)","2521","2553",Rue Saint Martin,c
"LINESTRING (652556.204379267 6862946.99518598,652682.085351838 6862888.92597932)","2522","2554",Rue Jean Robert,c
"LINESTRING (652556.204379267 6862946.99518598,652553.604677629 6862940.11757504)","2524","2556",Rue Saint Martin,c
