WKT,fid,gid,streetname,note
"LINESTRING (652415.430416649 6862886.72012533,652400.988879959 6862772.2947069)","1653","1653",,
"LINESTRING (652435.659575204 6862758.91099828,652400.988879959 6862772.2947069)","1654","1654",,
"LINESTRING (652409.259266909 6862676.97264155,652435.659575204 6862758.91099828)","1659","1659",,
"LINESTRING (652419.986882639 6863150.81600985,652411.311103715 6863125.23285428)","1660","1660",,
"LINESTRING (652423.127534554 6862938.97577997,652421.229912558 6862929.70118735,652415.430416649 6862886.72012533)","1673","1673",,
"LINESTRING (652426.536965937 6863170.29013712,652419.986882639 6863150.81600985)","1683","1682",,
"LINESTRING (652419.986882639 6863150.81600985,652607.509885157 6863096.69832995)","1684","1683",,
"LINESTRING (652438.075525902 6863427.17052873,652422.863048487 6863476.19789626)","1687","1686",,
"LINESTRING (652429.276167282 6862984.04233081,652423.127534554 6862938.97577997)","1694","1693",,
"LINESTRING (652566.13044854 6862947.85292303,652552.213311236 6862946.29502787,652521.55308226 6862945.70161743,652492.579411999 6862941.19089635,652464.093371225 6862933.60630614,652449.847967956 6862932.86769513,652444.750754559 6862933.49973931,652423.127534554 6862938.97577997)","1695","1694",,
"LINESTRING (652441.980260103 6863226.7361747,652426.536965937 6863170.29013712)","1701","1700",,
"LINESTRING (652578.201767348 6863290.79556989,652570.905104512 6863269.42391727,652567.500561014 6863264.06883035,652476.875878315 6863168.41800356,652426.536965937 6863170.29013712)","1703","1702",,
"LINESTRING (652597.6554845 6863072.65290425,652499.411429771 6863000.99786641,652492.900249074 6862997.69627302,652429.276167282 6862984.04233081)","1707","1706",,
"LINESTRING (652445.333118242 6862592.70208889,652439.51692407 6862578.26720831,652431.440758171 6862552.21676942)","1711","1710",,
"LINESTRING (652438.469570729 6863024.65531635,652435.060573254 6863010.77237234)","1714","1713",,
"LINESTRING (652459.784370104 6863009.27038832,652435.060573254 6863010.77237234)","1715","1714",,
"LINESTRING (652494.369067764 6862739.53989396,652438.757147555 6862758.51365367,652435.659575204 6862758.91099828)","1716","1715",,
"LINESTRING (652438.075525902 6863427.17052873,652448.977552441 6863431.42336203,652476.11801881 6863444.47806139,652487.750686201 6863442.36073812,652500.606549821 6863436.80739307)","1717","1716",,
"LINESTRING (652438.075525902 6863427.17052873,652449.025347592 6863398.55377875)","1718","1717",,
"LINESTRING (652440.318911778 6863037.05411417,652438.469570729 6863024.65531635)","1719","1718",,
"LINESTRING (652438.469570729 6863024.65531635,652464.933633978 6863019.52712406,652470.331702629 6863016.95056237,652474.991318177 6863031.83088558)","1720","1719",,
"LINESTRING (652444.711536745 6863052.3434239,652440.318911778 6863037.05411417)","1727","1726",,
"LINESTRING (652474.991318177 6863031.83088558,652440.318911778 6863037.05411417)","1728","1727",,
"LINESTRING (652457.081403348 6863283.32815699,652454.178107775 6863274.74427589,652441.980260103 6863226.7361747)","1729","1728",,
"LINESTRING (652446.786307926 6863061.68513363,652444.711536745 6863052.3434239)","1733","1732",,
"LINESTRING (652479.90394876 6863047.51920155,652444.711536745 6863052.3434239)","1734","1733",,
"LINESTRING (652463.599197874 6862648.31642633,652445.333118242 6862592.70208889)","1736","1735",,
"LINESTRING (652551.509451826 6862544.17413822,652445.333118242 6862592.70208889)","1737","1736",,
"LINESTRING (652479.90394876 6863047.51920155,652482.776005126 6863056.69101328,652446.786307926 6863061.68513363)","1739","1738",,
"LINESTRING (652490.01565804 6863399.43142558,652466.335242954 6863407.28578687,652449.025347592 6863398.55377875)","1740","1739",,
"LINESTRING (652457.081403348 6863283.32815699,652466.215375687 6863317.74647764)","1754","1753",,
"LINESTRING (652485.28148323 6862715.2682806,652463.599197874 6862648.31642633)","1763","1762",,
"LINESTRING (652582.104121365 6862596.33503437,652463.599197874 6862648.31642633)","1764","1763",,
"LINESTRING (652466.215375687 6863317.74647764,652490.01565804 6863399.43142558)","1765","1764",,
"LINESTRING (652466.215375687 6863317.74647764,652578.201767348 6863290.79556989)","1766","1765",,
"LINESTRING (652474.991318177 6863031.83088558,652479.90394876 6863047.51920155)","1774","1773",,
"LINESTRING (652494.369067764 6862739.53989396,652490.640845289 6862731.09566159,652485.28148323 6862715.2682806)","1789","1788",,
"LINESTRING (652523.117921277 6862700.531196,652485.28148323 6862715.2682806)","1792","1791",,
"LINESTRING (652492.484051062 6863408.15432034,652490.01565804 6863399.43142558)","1794","1793",,
"LINESTRING (652500.606549821 6863436.80739307,652492.484051062 6863408.15432034)","1797","1796",,
"LINESTRING (652601.11056512 6863378.48402957,652492.484051062 6863408.15432034)","1798","1797",,
"LINESTRING (652505.395275743 6862774.03929262,652500.905649999 6862758.09345587,652494.369067764 6862739.53989396)","1809","1808",,
"LINESTRING (652500.606549821 6863436.80739307,652523.584138269 6863509.40318394)","1819","1818",,
"LINESTRING (652706.225803872 6863377.67272212,652500.606549821 6863436.80739307)","1820","1819",,
"LINESTRING (652566.13044854 6862947.85292303,652549.822244865 6862899.94305702)","1822","1821",,
"LINESTRING (652603.289786416 6862626.26382933,652577.755038502 6862638.87540459,652555.638866198 6862634.83115575,652502.295228774 6862664.32662921)","1823","1822",,
"LINESTRING (652527.454202732 6862836.34221408,652522.493373949 6862824.00515542,652505.395275743 6862774.03929262)","1831","1830",,
"LINESTRING (652628.47241014 6862722.20834746,652505.395275743 6862774.03929262)","1832","1831",,
"LINESTRING (652726.807664515 6863437.86156209,652716.703412906 6863450.310809,652523.584138269 6863509.40318394)","1843","1842",,
"LINESTRING (652549.822244865 6862899.94305702,652527.454202732 6862836.34221408)","1848","1847",,
"LINESTRING (652649.394336008 6862784.64935285,652527.454202732 6862836.34221408)","1849","1848",,
"LINESTRING (652669.604092418 6862845.77702886,652659.815385763 6862851.11097458,652549.822244865 6862899.94305702)","1878","1877",,
"LINESTRING (652571.419374958 6862583.99007945,652564.663293009 6862574.30611446,652557.534355977 6862560.8623739,652551.509451826 6862544.17413822)","1883","1882",,
"LINESTRING (652584.744892243 6863002.71764391,652566.13044854 6862947.85292303)","1898","1897",,
"LINESTRING (652689.488058123 6862897.7466478,652566.13044854 6862947.85292303)","1899","1898",,
"LINESTRING (652612.620423763 6862646.64410438,652568.911763105 6862668.38051707)","1904","1903",,
"LINESTRING (652582.104121365 6862596.33503437,652571.419374958 6862583.99007945)","1906","1905",,
"LINESTRING (652625.100401064 6862562.22890698,652571.419374958 6862583.99007945)","1907","1906",,
"LINESTRING (652589.785510103 6863333.79683102,652588.034782504 6863323.26521677,652578.201767348 6863290.79556989)","1914","1913",,
"LINESTRING (652603.289786416 6862626.26382933,652601.849348833 6862622.08875567,652590.190811158 6862604.58860508,652582.104121365 6862596.33503437)","1919","1918",,
"LINESTRING (652584.744892243 6863002.71764391,652593.349298453 6863059.54818838)","1921","1920",,
"LINESTRING (652708.864601195 6862950.7093747,652620.582034188 6862988.74440886,652618.746869603 6862986.82516948,652584.744892243 6863002.71764391)","1922","1921",,
"LINESTRING (652601.11056512 6863378.48402957,652589.785510103 6863333.79683102)","1925","1924",,
"LINESTRING (652680.352426855 6863303.1880238,652589.785510103 6863333.79683102)","1926","1925",,
"LINESTRING (652593.349298453 6863059.54818838,652593.993579602 6863063.7436094,652597.6554845 6863072.65290425)","1930","1929",,
"LINESTRING (652593.349298453 6863059.54818838,652698.609901901 6863023.41484454)","1931","1930",,
"LINESTRING (652597.6554845 6863072.65290425,652603.101117807 6863085.90195058)","1934","1933",,
"LINESTRING (652601.11056512 6863378.48402957,652697.699740297 6863352.73941386)","1936","1935",,
"LINESTRING (652603.101117807 6863085.90195058,652607.509885157 6863096.69832995)","1942","1941",,
"LINESTRING (652603.101117807 6863085.90195058,652662.252101443 6863069.63659804,652709.718124387 6863052.64156774)","1943","1942",,
"LINESTRING (652612.620423763 6862646.64410438,652603.289786416 6862626.26382933)","1944","1943",,
"LINESTRING (652607.509885157 6863096.69832995,652668.783120307 6863270.1669801)","1949","1948",,
"LINESTRING (652628.47241014 6862722.20834746,652612.620423763 6862646.64410438)","1958","1957",,
"LINESTRING (652649.394336008 6862784.64935285,652631.381623786 6862733.5183085,652628.47241014 6862722.20834746)","1972","1971",,
