WKT,fid,gid,streetname,note
"LINESTRING (2.35519716948798 48.8648789329446,2.35531162270666 48.8648565872672)","2198","2197",Rue Aumaire,
"LINESTRING (2.35531162270666 48.8648565872672,2.35599008309006 48.8647241230137,2.35640888089657 48.8646496034061)","2199","2198",Rue Aumaire,
"LINESTRING (2.35640888089657 48.8646496034061,2.35660230857862 48.8646151849044)","2200","2199",Rue Aumaire,
"LINESTRING (2.35927072202379 48.8656381766267,2.35986114208214 48.8664020051655,2.36001836988707 48.8666042934878)","2201","2200",Rue Sainte-Élisabeth,
"LINESTRING (2.35812288188543 48.8670009839886,2.35981684057346 48.8666510806299,2.36001836988707 48.8666042934878)","2202","2201",Rue Neuve Saint-Laurent,
"LINESTRING (2.36001836988707 48.8666042934878,2.36022287642668 48.8665568146981,2.36122207825613 48.86628242644)","2203","2202",Rue Neuve Saint-Laurent,
"LINESTRING (2.35660230857862 48.8646151849044,2.35685726401284 48.8645557525569,2.35721434548556 48.864612986007)","2204","2203",Passage des Puits de Rome,
"LINESTRING (2.35660230857862 48.8646151849044,2.3567201318061 48.8647404830642,2.35676219907574 48.8648252422661,2.356813746514 48.864979576286)","2207","2206",Rue Frépillon,
"LINESTRING (2.356813746514 48.864979576286,2.35684398449347 48.8650701089313,2.35689876277166 48.8652077140817)","2209","2208",Rue Frépillon,
"LINESTRING (2.35689876277166 48.8652077140817,2.35701781583119 48.865428504728)","2211","2210",Rue Frépillon,
"LINESTRING (2.35689876277166 48.8652077140817,2.35649724809763 48.8653272450272)","2212","2211",Rue du Marché Saint-Martin,
"LINESTRING (2.35649724809763 48.8653272450272,2.35638172029211 48.8653616372948)","2213","2212",Rue du Marché Saint-Martin,
"LINESTRING (2.35512476331549 48.868421925103,2.35515055863678 48.8684637264667)","2217","2216",Rue Saint-Martin,
"LINESTRING (2.3491900606782 48.861924199812,2.34922496338644 48.8620021156226,2.34929468264978 48.8621509777101)","2255","2255",Rue Saint-Denis,
"LINESTRING (2.36043463136545 48.8655513386251,2.36062778039577 48.8657472183444,2.36074590262114 48.8658535970931)","2270","2270",Rue du Temple,
"LINESTRING (2.34929468264978 48.8621509777101,2.34946141054295 48.8625299468027)","2279","2279",Rue Saint-Denis,
"LINESTRING (2.34946141054295 48.8625299468027,2.34948869686531 48.8625908584838,2.34952206238786 48.8626737970235)","2297","2297",Rue Saint-Denis,
"LINESTRING (2.36158251142065 48.8646228613176,2.36226795619167 48.8642928942129)","2298","2298",Rue Perrée,
"LINESTRING (2.34952206238786 48.8626737970235,2.34969786658706 48.8631107985942)","2311","2311",Rue Saint-Denis,
"LINESTRING (2.34990094607774 48.863610608729,2.35001962826604 48.8638744381903,2.3500830227531 48.8641615581585)","2324","2324",Rue Saint-Denis,
"LINESTRING (2.3500830227531 48.8641615581585,2.35011160118874 48.8642909916544)","2337","2337",Rue Saint-Denis,
"LINESTRING (2.35515055863678 48.8684637264667,2.35528181876617 48.8686951443642)","2349","2349",Rue Saint-Martin,
"LINESTRING (2.35011160118874 48.8642909916544,2.35012323213457 48.8643678900389)","2350","2350",Rue Saint-Denis,
"LINESTRING (2.35012323213457 48.8643678900389,2.35016336859442 48.8646332517404)","2372","2372",Rue Saint-Denis,
"LINESTRING (2.35047362425792 48.8655105934183,2.35054130572588 48.8656663750452)","2377","2376",Rue Saint-Denis,
"LINESTRING (2.35016336859442 48.8646332517404,2.35016723297052 48.8646588008644)","2384","2383",Rue Saint-Denis,
"LINESTRING (2.36074590262114 48.8658535970931,2.36122207825613 48.86628242644)","2385","2384",Rue du Temple,
"LINESTRING (2.35016723297052 48.8646588008644,2.35030192211015 48.8651153840763)","2393","2392",Rue Saint-Denis,
"LINESTRING (2.35030192211015 48.8651153840763,2.35047362425792 48.8655105934183)","2414","2413",Rue Saint-Denis,
"LINESTRING (2.36145471373945 48.8633777139797,2.36234101055972 48.8640418102079)","2415","2414",Rue Caffarelli,
"LINESTRING (2.35054130572588 48.8656663750452,2.35068769932164 48.8659409078307)","2440","2439",Rue Saint-Denis,
"LINESTRING (2.35126782004547 48.8669573421571,2.3514720559979 48.8673982369219)","2451","2451",Rue Saint-Denis,
"LINESTRING (2.3514720559979 48.8673982369219,2.35155969722806 48.8676053864204)","2463","2463",Rue Saint-Denis,
"LINESTRING (2.35041818528665 48.8685708636075,2.35097585322927 48.8687287283314)","2474","2474",Rue Sainte-Foy,
"LINESTRING (2.35155969722806 48.8676053864204,2.35158292648501 48.8676825010218)","2477","2477",Rue Saint-Denis,
"LINESTRING (2.3475794410725 48.8622315641433,2.3491900606782 48.861924199812)","2489","2489",Rue des Prêcheurs,
"LINESTRING (2.35158292648501 48.8676825010218,2.35161742857904 48.8677970378224)","2491","2491",Rue Saint-Denis,
"LINESTRING (2.36122207825613 48.86628242644,2.36165096937486 48.8666655748632,2.3621487570312 48.866914313176)","2510","2510",Rue du Temple,
"LINESTRING (2.35161742857904 48.8677970378224,2.35176317584001 48.8681845744666)","2521","2521",Rue Saint-Denis,
"LINESTRING (2.35176317584001 48.8681845744666,2.35182121372956 48.8683388933519)","2536","2536",Rue Saint-Denis,
"LINESTRING (2.35182121372956 48.8683388933519,2.35187223956049 48.8684745668437,2.35189798652175 48.8685263212315)","2537","2537",Rue Saint-Denis,
"LINESTRING (2.34898983355226 48.8638356508215,2.34990094607774 48.863610608729)","2542","2542",Rue Mauconseil,
"LINESTRING (2.35189798652175 48.8685263212315,2.35200352050556 48.8687384556098)","2548","2548",Rue Saint-Denis,
"LINESTRING (2.35200352050556 48.8687384556098,2.35210267630488 48.868937767472)","2563","2563",Rue Saint-Denis,
"LINESTRING (2.35528181876617 48.8686951443642,2.35548883021086 48.8690601107768)","2571","2640",Rue Saint-Martin,
"LINESTRING (2.35097585322927 48.8687287283314,2.35124175001838 48.8688039971744,2.35159852214314 48.868899782159)","2586","2585",Rue Sainte-Foy,
