WKT,fid,gid,streetname,note
"LINESTRING (652218.602877772 6863010.94183858,652338.383093381 6862984.93580904)","973","973",R GRENETA,
"LINESTRING (652240.17238557 6863078.75992396,652357.902418799 6863046.77114746)","974","974",R SAINT-SAUVEUR,
"LINESTRING (652268.926166217 6863168.51747804,652384.631236021 6863133.5456942,652389.723250656 6863144.50280395)","975","975",R THEVENOT,
"LINESTRING (652240.17238557 6863078.75992396,652268.926166217 6863168.51747804)","978","978",R DUSSOUBS,
"LINESTRING (652406.528521197 6863240.36071546,652412.712881153 6863262.30856008)","1016","1016",PAS DU CAIRE,
"LINESTRING (652459.364595522 6863339.91591819,652389.605337801 6863368.50184326,652384.681342403 6863377.54314546)","1022","1022",PAS SAINTE-FOY,
"LINESTRING (652973.398126267 6862868.60017991,653090.614922433 6862775.61580602)","1025","1025",R PORTEFOIN,
"LINESTRING (652778.229308172 6862848.24106787,652798.160416125 6862840.07363427)","1026","1026",R DES GRAVILLIERS,
"LINESTRING (652646.324364342 6862978.34822169,652756.651569702 6863017.42051865)","1027","1027",R DE TURBIGO,
"LINESTRING (652259.918758669 6863048.59434468,652350.718160732 6863024.83174052)","1029","1029",IMP SAINT-DENIS,
"LINESTRING (652191.067823208 6862828.17525964,652241.206485751 6862844.75385087)","1031","1031",R DE TURBIGO,
"LINESTRING (652454.238958449 6863324.95910841,652569.952529279 6863290.98702355)","1032","1032",R DE TRACY,
"LINESTRING (652857.776892488 6862675.57460605,652889.219782424 6862728.30959009)","1040","1040",R DU TEMPLE,
"LINESTRING (652833.023038339 6862823.7807846,652858.920019611 6862811.56324346)","1041","1041",R DES GRAVILLIERS,
"LINESTRING (652872.271637319 6862734.45198223,652889.219782424 6862728.30959009)","1044","1044",R CHAPON,
"LINESTRING (652798.160416125 6862840.07363427,652809.125886336 6862835.98151151)","1046","1046",R DES GRAVILLIERS,
"LINESTRING (652397.81556718 6862679.44018759,652432.610881924 6862774.14658026)","1048","1048",R QUINCAMPOIX,
"LINESTRING (652572.582490844 6863008.96762055,652576.649389633 6863016.93335801,652591.144036738 6863075.81093351)","1049","1049",R SAINT-MARTIN,
"LINESTRING (652809.125886336 6862835.98151151,652833.023038339 6862823.7807846)","1050","1050",R DES GRAVILLIERS,
"LINESTRING (652797.841291131 6862921.07536357,652790.564507585 6862888.13691038,652778.229308172 6862848.24106787)","1051","1051",PAS BARROIS,
"LINESTRING (652557.07953952 6862949.09856024,652646.324364342 6862978.34822169)","1052","1052",R DE TURBIGO,
"LINESTRING (652924.788455254 6862796.00971802,652973.398126267 6862868.60017991)","1053","1053",R DU TEMPLE,
"LINESTRING (652623.006737002 6862702.54753305,652627.098839279 6862713.51299712)","1056","1056",R BEAUBOURG,
